Date,Trend
2014-01-15,0
2014-01-16,0
2014-01-17,0
2014-01-18,0
2014-01-19,0
2014-01-20,0
2014-01-21,29
2014-01-22,0
2014-01-23,0
2014-01-24,0
2014-01-25,0
2014-01-26,34
2014-01-27,0
2014-01-28,0
2014-01-29,29
2014-01-30,0
2014-01-31,0
2014-02-01,0
2014-02-02,0
2014-02-03,0
2014-02-04,0
2014-02-05,59
2014-02-06,100
2014-02-07,33
2014-02-08,34
2014-02-09,68
2014-02-10,29
2014-02-11,87
2014-02-12,72
2014-02-13,74
2014-02-14,46
2014-02-15,10
2014-02-16,43
2014-02-17,100
2014-02-18,83
2014-02-19,71
2014-02-20,94
2014-02-21,87
2014-02-22,88
2014-02-23,77
2014-02-24,69
2014-02-25,61
2014-02-26,57
2014-02-27,38
2014-02-28,17
2014-03-01,59
2014-03-02,97
2014-03-03,46
2014-03-04,38
2014-03-05,79
2014-03-06,59
2014-03-07,74
2014-03-08,45
2014-03-09,54
2014-03-10,59
2014-03-11,71
2014-03-12,58
2014-03-13,33
2014-03-14,31
2014-03-15,38
2014-03-16,84
2014-03-17,65
2014-03-18,55
2014-03-19,50
2014-03-20,37
2014-03-21,38
2014-03-22,38
2014-03-23,52
2014-03-24,86
2014-03-25,68
2014-03-26,100
2014-03-27,42
2014-03-28,57
2014-03-29,38
2014-03-30,81
2014-03-31,54
2014-04-01,68
2014-04-02,74
2014-04-03,32
2014-04-04,14
2014-04-05,49
2014-04-06,32
2014-04-07,54
2014-04-08,45
2014-04-09,46
2014-04-10,33
2014-04-11,54
2014-04-12,33
2014-04-13,27
2014-04-14,28
2014-04-15,8
2014-04-16,5
2014-04-17,7
2014-04-18,8
2014-04-19,15
2014-04-20,5
2014-04-21,11
2014-04-22,8
2014-04-23,12
2014-04-24,21
2014-04-25,25
2014-04-26,41
2014-04-27,23
2014-04-28,21
2014-04-29,16
2014-04-30,13
2014-05-01,17
2014-05-02,14
2014-05-03,15
2014-05-04,12
2014-05-05,16
2014-05-06,12
2014-05-07,11
2014-05-08,7
2014-05-09,18
2014-05-10,33
2014-05-11,19
2014-05-12,27
2014-05-13,26
2014-05-14,32
2014-05-15,51
2014-05-16,31
