Category: All categories

Day,Dogecoin: (Worldwide)
2014-12-01,53
2014-12-02,78
2014-12-03,64
2014-12-04,73
2014-12-05,60
2014-12-06,88
2014-12-07,94
2014-12-08,92
2014-12-09,80
2014-12-10,71
2014-12-11,94
2014-12-12,68
2014-12-13,91
2014-12-14,78
2014-12-15,67
2014-12-16,88
2014-12-17,72
2014-12-18,70
2014-12-19,77
2014-12-20,72
2014-12-21,100
2014-12-22,63
2014-12-23,67
2014-12-24,98
2014-12-25,75
2014-12-26,80
2014-12-27,91
2014-12-28,56
2014-12-29,80
2014-12-30,60
2014-12-31,61
2015-01-01,51
