Category: All categories

Day,Bitcoin: (Worldwide)
2017-05-01,23
2017-05-02,25
2017-05-03,25
2017-05-04,33
2017-05-05,30
2017-05-06,25
2017-05-07,24
2017-05-08,28
2017-05-09,36
2017-05-10,34
2017-05-11,37
2017-05-12,43
2017-05-13,44
2017-05-14,37
2017-05-15,52
2017-05-16,48
2017-05-17,39
2017-05-18,36
2017-05-19,40
2017-05-20,39
2017-05-21,41
2017-05-22,65
2017-05-23,68
2017-05-24,75
2017-05-25,100
2017-05-26,77
2017-05-27,66
2017-05-28,50
2017-05-29,49
2017-05-30,48
2017-05-31,48
2017-06-01,46
