Date,Trend
2014-08-05,92
2014-08-06,88
2014-08-07,100
2014-08-08,87
2014-08-09,80
2014-08-10,76
2014-08-11,91
2014-08-12,83
2014-08-13,79
2014-08-14,84
2014-08-15,82
2014-08-16,80
2014-08-17,67
2014-08-18,73
2014-08-19,75
2014-08-20,64
2014-08-21,81
2014-08-22,75
2014-08-23,63
2014-08-24,61
2014-08-25,74
2014-08-26,76
2014-08-27,62
2014-08-28,59
2014-08-29,61
2014-08-30,57
2014-08-31,50
2014-09-01,56
2014-09-02,67
2014-09-03,64
2014-09-04,64
2014-09-05,100
2014-09-06,97
2014-09-07,86
2014-09-08,98
2014-09-09,93
2014-09-10,97
2014-09-11,100
2014-09-12,94
2014-09-13,82
2014-09-14,95
2014-09-15,98
2014-09-16,95
2014-09-17,99
2014-09-18,98
2014-09-19,92
2014-09-20,86
2014-09-21,74
2014-09-22,88
2014-09-23,83
2014-09-24,93
2014-09-25,93
2014-09-26,97
2014-09-27,73
2014-09-28,80
2014-09-29,92
2014-09-30,91
2014-10-01,86
2014-10-02,94
2014-10-03,96
2014-10-04,89
2014-10-05,69
2014-10-06,78
2014-10-07,81
2014-10-08,88
2014-10-09,91
2014-10-10,87
2014-10-11,78
2014-10-12,73
2014-10-13,85
2014-10-14,88
2014-10-15,100
2014-10-16,93
2014-10-17,78
2014-10-18,82
2014-10-19,82
2014-10-20,88
2014-10-21,87
2014-10-22,82
2014-10-23,89
2014-10-24,81
2014-10-25,79
2014-10-26,83
2014-10-27,96
2014-10-28,92
2014-10-29,92
2014-10-30,87
2014-10-31,88
2014-11-01,73
2014-11-02,81
2014-11-03,85
2014-11-04,90
2014-11-05,89
2014-11-06,95
2014-11-07,94
2014-11-08,100
2014-11-09,93
2014-11-10,91
2014-11-11,98
2014-11-12,98
2014-11-13,90
2014-11-14,89
2014-11-15,77
2014-11-16,84
2014-11-17,85
2014-11-18,84
2014-11-19,91
2014-11-20,88
2014-11-21,93
2014-11-22,84
2014-11-23,79
2014-11-24,87
2014-11-25,85
2014-11-26,80
2014-11-27,70
2014-11-28,91
2014-11-29,78
2014-11-30,71
2014-12-01,75
2014-12-02,83
2014-12-03,79
2014-12-04,79
2014-12-05,100
2014-12-06,83
2014-12-07,85
2014-12-08,92
2014-12-09,93
2014-12-10,86
2014-12-11,92
2014-12-12,94
2014-12-13,82
2014-12-14,82
2014-12-15,92
2014-12-16,80
2014-12-17,86
2014-12-18,86
2014-12-19,97
2014-12-20,69
2014-12-21,90
2014-12-22,78
2014-12-23,79
2014-12-24,73
2014-12-25,72
2014-12-26,82
2014-12-27,83
2014-12-28,80
2014-12-29,84
2014-12-30,88
2014-12-31,86
2015-01-01,74
2015-01-02,92
2015-01-03,88
2015-01-04,75
2015-01-05,79
2015-01-06,99
2015-01-07,91
2015-01-08,100
2015-01-09,84
2015-01-10,71
2015-01-11,78
2015-01-12,89
2015-01-13,94
2015-01-14,90
2015-01-15,95
2015-01-16,96
2015-01-17,79
2015-01-18,80
2015-01-19,84
2015-01-20,89
2015-01-21,87
2015-01-22,89
2015-01-23,96
2015-01-24,90
2015-01-25,71
2015-01-26,86
2015-01-27,79
2015-01-28,94
2015-01-29,90
2015-01-30,83
2015-01-31,71
2015-02-01,63
2015-02-02,75
2015-02-03,93
2015-02-04,89
2015-02-05,89
2015-02-06,94
2015-02-07,73
2015-02-08,77
2015-02-09,87
2015-02-10,78
2015-02-11,88
2015-02-12,88
2015-02-13,80
2015-02-14,67
2015-02-15,71
2015-02-16,90
2015-02-17,100
2015-02-18,80
2015-02-19,89
2015-02-20,92
2015-02-21,82
2015-02-22,79
2015-02-23,87
2015-02-24,89
2015-02-25,84
2015-02-26,93
2015-02-27,88
2015-02-28,81
2015-03-01,74
2015-03-02,93
2015-03-03,98
2015-03-04,92
2015-03-05,54
2015-03-06,56
2015-03-07,47
2015-03-08,46
2015-03-09,58
2015-03-10,59
2015-03-11,56
2015-03-12,63
2015-03-13,51
2015-03-14,47
2015-03-15,47
2015-03-16,56
2015-03-17,55
2015-03-18,62
2015-03-19,53
2015-03-20,53
2015-03-21,50
2015-03-22,53
2015-03-23,56
2015-03-24,56
2015-03-25,55
2015-03-26,53
2015-03-27,60
2015-03-28,66
2015-03-29,98
2015-03-30,87
2015-03-31,62
2015-04-01,60
2015-04-02,56
2015-04-03,53
2015-04-04,51
2015-04-05,89
