Time Stamp,Username,Topic,Text,Direction,Views,Cmt.Num,Like
1530307633.0,globalz11112,History repeats itselfs ,"
2010 we pumpt from 5 cent to 50 cent and dumped to 15 cent  







2011 we pumpt from 17 cent to 1.11$ and dumped to 60c. 




 

Later 2011 we pumpt from 60c to 32$ and dumped to 2$ 




 

2013 we pumpt from 10$ to 266$ and dumped to around 60$ 




 

2014 we pumpt from 120$ to 1150$ and dumped to 157$ 




 


",,57,0,2
1530307432.0,jeannek,"BTC Wave Count Update: Potential WXYXZ, Triple Three (T3) Wave4","




37 minutes ago




After comparing different possible counts, I feel this is the closest possible scenario for next few month's  BTC 1.27%  moves. 

My target from previous March wave count post remained: 
3-4k, or potentially overshoot below 3k on panic selling. 

Its a Looooong winter for  BTC 1.27% , but I'm very confident that the ensuing Wave5, which will resume previous incredible climb, 
it shall bring us to the heights of  25k 0.96% , 35k, and ultimately my target being 45k, before wave5 ends. 
Charts posted as an update in previous post. 

Enjoy! :)






31 minutes ago





Comment:










",Short,55,0,0
1530307177.0,Crypt0Maniak,Buy at one of these support lines or when there is more volume,"
We have 2 resistance lines and 4 support lines. 

The $6000  support level  is already broken, so the next support lines are at $5300, $4500 and $3000. 
BTC/USD is now at  BITFINEX:BTCUSD 1.26%  

Watch it closely, because when there is coming more buy  volume  we could expect a run up.
",,60,0,0
1530306370.0,quasar35,BTC  ,"
The triple exponential average ( TRIX ) indicator is an oscillator used to identify oversold and overbought markets, and it can also be used as a  momentum indicator . Like many oscillators,  TRIX  oscillates around a zero line. When it is used as an oscillator, a positive value indicates an overbought market while a negative value indicates an oversold market. When  TRIX  is used as a  momentum indicator , a positive value suggests momentum is increasing while a negative value suggests momentum is decreasing. Many analysts believe that when the  TRIX  crosses above the zero line it gives a buy signal, and when it closes below the zero line, it gives a sell signal. Also, divergences between price and  TRIX  can indicate significant turning points in the market.  


TRIX  calculates a  triple exponential moving average  of the log of the price input over the period of time specified by the length input for the current bar. The current bar's value is subtracted by the previous bar's value. This prevents cycles that are shorter than the period defined by length input from being considered by the indicator. 




",,68,0,0
1530306237.0,NickelGrasshopper,BTCUSD W & D: Building confluences,"
Here are a couple of ideas for long entries: 

1. Look for some  bullish  relief around 5200-5300 on the daily. The 1.0 fib exts of 6/7-6/19 & 6/20-6/25 are showing confluence, so look for a reversal there. 

2. For the larger trend, the 1.0 fib exts on both the W & the D charts are showing confluence in the 4800-4900 area, indicating a reversal area. 
",Long,21,0,1
1530305453.0,atharvaj1206,BTC RSI PARABOLIC,"
This Parabolic  RSI  has me hella long.
",Long,65,0,1
1530305231.0,flockoo,btc 6/29 update,"
Had asks hit in this range,  avg              entry -6075 playing a 5990 stop in profit worked perfectly with a small  rising wedge  developing on low vol, want a 4h  shooting star  close later to confirm, looking 5765 and 5670 as major take profits. Long hedge on FUTS closed so looking to re enter in 5.7s
",Short,52,0,0
1530304904.0,Keep-it-Real,BTC SQUEEZED INSIDE A MASSIVE TRIANGLE,"
... and as we are approaching for a tiny hole at the end of triangle, we are getting ready for price jetting out of the triangle! 

Make your setup ready and stick to it! 

and always Keep it Real
",,60,0,2
1530304407.0,atharvaj1206,btc,"
 btc 1.26%  just doin its shit. 
These are my  bullish  counts cus  rsi  is sooper bull rn 

",Long,36,0,0
1530303007.0,captainquenta,Bitcoin Bullish Bat - Continued addition of reversal conditions,"
A  bullish bat  pattern is within range for  Bitcoin 1.26%  to complete, this  bat pattern  is from March 31st - July 1st, a 90-day cycle.  

If we observe the market geometry in the Square of 144, we see a strong  support zone  of the 1x5 angle as well as the 2/8th MAJOR  harmonic pivot  at the 5600 value area. Let's also review the time cycles 

1. End and Beginning of a new Law of Vibration Cycle. 
2. Middle of a Square of 52. 
3. June 22nd - July 7th  Gann  Season and Date - strong probability of  support and resistance  being found during this time, trending markets often begin a 90 to 180 day corrective/reversal move.  
4. 'Death Zone' Cycle - 7 week cycle, 7x7=49 days. 49 Days is what  Gann  called the 'Death Zone' - it ends blow-off moves. This is actually an important thing to recognize: this current cycle has been a >40% reduction in Bitcoin's price from the previous swing high.  
5.  Full Moon  -  Bitcoin 1.26%  has the highest probability of finding rising prices when it is near a swing low at the appearance of a  Full Moon  lunar phase. That happened on the 27th of June.  
6. Mars went retrograde on the 26th of June, Mars retrograde has only appeared twice in Bitcoin's trading history and in each of the prior retrograde phases,  Bitcoin 1.26%  experienced the highest % gains in its history. For whatever reason, cryptocurrencies are extremely sensitive to any important Mars aspect or cycle.  
7. Mercury enters  Leo              on June 29th. 
8, Uranus exits Taurus on July 1st and re-enters on September 14th. Uranus is a planet that initiates change and conflict. Taurus represents the basic opposite: stability, tradition and security.  
9. Additionally, look at the  DXY -0.89%  index and see that it is taking a huge dump, this could be a strong trigger for short-term sentiment and provide fuel for  Bitcoin 1.26%  to rally higher against the dollar.  

Let's also remember one of the basic principles of Dow theory as it applies to panic phases and accumulation phases: extreme  bearish  and negative news and sentiment, but price action fails to produce increasingly dramatic lows.  

Additionally, if we analyze the price action and history of  Bitcoin 1.26%  during the Summer months (June 22 - Sept 22) we often see a flat or falling prices, followed by MASSIVE rallies and exponential gains going into Fall.  

",Long,48,0,3
