Time Stamp,Username,Topic,Text,Direction,Views,Cmt.Num,Like
1530472264.0,EnumeroUno,The Future of Bitcoin,"
This is what will happen
",Long,78,0,0
1530472099.0,Skywalker231,BTC,"
 BTC -1.09% 
",,97,0,0
1530472088.0,befunkt,What the Fractal!?  KEYBTC and BTCUSD,"




an hour ago




I hope everyone is watching  KEYBTC 3.00% . Some ridiculously interesting stuff going on here! 

Uncanny  fractal  business points  BTC              due north. 
Also, on the Binance chart (KEY was just introduced on Binance a few days ago) we basically painted a  fractal  of the history of  Bitcoin              since 2013. 

I made some posts in the past about the possibility of Alt-coin fractals being able to show us the future of the lower  harmonic  ( BTC             ), though nothing I was watching ever played out.  KEYBTC 3.00% , however, is on a whole new level. 

More pix coming! 

Cheers! 
-B






an hour ago





Comment:












36 minutes ago





Comment:










",,62,2,1
1530472039.0,MDuth,Bullish Technical Analysis of BTC,"




an hour ago




One of my big points of interest during this  bearish  drop of doom was $5,750. With the count shown on this chart, if you take the length of waves 0-3 and stack them onto the close of wave 4 it lands at $5,750. Given that wave 5 usually closes between 62% and 100% the length of 0-3, this number meant quite a bit to me. So when things decided to change direction it wasn't a huge surprise.  

Once we hit that target, there was some substantial  RSI  divergence to be seen on almost every time-line. Shortly after that we broke out of our  RSI wedge  to set up what could very possibly a wave 1 (or an ""A""; time will tell). Now we are currently working on the close of wave 2 (or ""B""). We have already retraced our wave 1 38.2%, which technically satisfies a potential scenario to signal the start of wave 3. The big reason I believe we will continue to retrace to the 50% of wave 1 is that it appears that 4-hour  RSI  wants to come down further to its new post-wedge resistance line. You can see that line on the chart. I think that we may have to retrace a little further to set up  RSI  prior to making a push towards the 1.62 ext of wave one for the close of 3 ($7,000). 






12 minutes ago





Comment:
					Here is a closer look at the potential count for our current impulse. As I mentioned above, we have already hit the 38.2% retracement which could imply lateral movement until we hit the support floor on our 4-hour RSI. If it decides to make a move down fairly quickly, there is also room to hit the 50% retracement before attempting a wave 3 break of the large top-side resistance at $6,420-$6,450.  











",Long,148,0,3
1530470835.0,ksameena,btc breakout confirmed...major buy signal ,"
sell around  14k 0.00% ....
",Long,94,0,1
1530469743.0,junifer2525,"BTC USD one more drop to 5,000 USD","
 BTC -1.09%  USD one more drop to 5,000 USD
",Short,132,2,2
1530468005.0,MeanPrestige,BTCUSD Idea,"
Time to corrective move before huge fall 
",,57,0,0
1530467691.0,cryptowendyo,BTC,"
 
4H Consolidating nicely on the TL if we can continue here im optimistic. If not look to ~6200 for target  
1D indicators running together which is always  bullish  for me. This makes me think we can retest ~$6400 by this evening before a pullback 
1W  RSI  starting to cross and bounce from oversold-  MACD  almost maxed out and ready to pop 
Hoping this pans out, if not I will update 
$7400 is a safe area for me as far as being out of the bear market 
",,60,0,0
1530466680.0,TradeIndicators,BTCUSD - Up 28.35% on Short Trade! In-Depth Indicator Breakdown!,"
Hope this idea helps! 
Don’t forget to Like/Follow if you enjoyed this post :) 

Here is an overview of how to use our indicators to give you the most peace of mind that a trade will be profitable before you enter in or exit. These indicators currently have our traders up 28.35% on this short trade and we are all ready for the long signal when it comes which I think is going to be a great win! 

All of the indicators I talked about in the video are below, you can view how they perform on different Stocks, Crypto, Forex and Index tickers. They were built to minimize emotional decisions and to focus on logistical and data-driven points of trend reversals to get you into the best long and short positions.  

For  BTC              I think we are going to see an uptrend reversal within the next 2 weeks for sure if not sooner and all of our traders who have these indicators are going to get alerted right on time for that move to make the maximum profit. Below in the Related Ideas section is a video called ""Martin  Trend Line  Candles + Early Exit Indicator Alerts Setup"" which will show you how to set up alerts for the indicators. It's like having an automated trading program sending the best long and short signals straight to your phone or email, it's so cool and very practical so you can trade on the go!  

Get these indicators today and come make these profits with our traders! Enjoy the profits! 

Get The Indicators We’re Using: 
Martin Trend Candles + Color Change Alert 
Martin Trend Candles Trailing Stop and Early Exit 
Martin Profit Lines + Buy/Sell Alert 
Martin ‘Drop Coming’ Signal Warning Before Price Drops 
Martin 'Rise Coming' Signal Before Price Jumps 
Martin Island Sunset - Buy Above Water, Sell at Sunset 

Have a great rest of your weekend! 
Travis 

This information is not a recommendation to buy or sell. It is to be used for educational purposes only. 

",Short,64,0,2
1530465447.0,farhadjafarov7,BTC FALLING WEDGE REVERSAL BUT WHICH SUPPORT?,"
 Bitcoin              is having some  bullish  signals but since its pump we have been on a retracement and once again but we just have to find the right support and know when we will be getting out of the  wedge  and once we get out there is another downward trend we would have to get out from and I think we will be testing it at 6600-6800 USD. So we have three supports, we tested the first one at 6254 USD and had a quite small bounce to upper 6320 area but lets see how strong this support is, if this support is broken then we will move to the next support at 6193 USD we will see if we are getting out of the  wedge  from this support, if we break this support and bears stand their ground, then we will move to the next support which will be at 5911 USD.  

However my prediction is that we will test the support at 6254 USD once again after which we should bounce and get out of the  wedge  and test the downward trend which we have waiting out side the  wedge  and we will see if the bulls are good enough to break the resistance.  

Good Luck, Traders! 

",,80,0,2
1530464561.0,Cryptosomniac,Don't be a sucker! Bitcoin is still largely bearish. Be patient.,"
Come join our discord channel!
",,84,0,3
