Time Stamp,Username,Topic,Text,Direction,Views,Cmt.Num,Like
1530109614.0,TexasWestCapital,Bitcon's daily chart comparison -- April low v. Current low,"
The  daily chart  gives us a large picture of the overall price movement. There is a possibility that the large price movement from February has created one of the two  wedges  noted. The support of the first is derived off the candle bodies and the current low would need to be the spring which means upward momentum would have to breach that resistance line of the descending  wedge . However, if the second is the actual descending  wedge  support line, then we should expect a rally right now, followed by a movement down toward the  support level  one more time in preparation for the actual spring and subsequent bull market return. Either one of these would only be valid if we are in an accumulation phase as I believe we may be at this time. I have provided the Wyckoff of the first already. I am working on a Wyckoff of the second and will post it once it's done. I am also completing a comparison of this current phase with the accumulation phase after 2014 for those who have some concerns about the size of the  TR              and the ensuing  volume  profiles, and will be posting that as well. 

Currently, on this  daily chart , I am watching for  RSI  to breach that descending resistance line. We should expect to see %B breach its own resistance line prior to that.  MACD  is also about to print a  bullish  cross which is inline with a movement up from this general area. While  Bitcoin              price did print a  bearish engulfing  candle yesterday, without confirmation today (another  bearish  candle) it means nothing. As of this time, price is printing a potential reversal candle. If  Bitcoin              can close the day with a candle similar to its present design, then we would need to see a  bullish  candle tomorrow to confirm it. Reversing today/tomorrow would set up a potential heck of a weekend as liquidity dries up, making it much easier to move price with lower order sizes. 
",,147,0,3
1530109561.0,dklug8,Nice bullish divergence in RSI and MACD ,"
Those are quite  bullish  signals. This is just an educational post  

",Long,76,0,1
1530109258.0,Superrg1,An Oversold Story on BTC/USD,"
 RSI  hits 30 or below on the Daily......A history.  

Not an Adviser, do your own Research.
",,41,0,0
1530109223.0,armandomendez,BTC/USD 1W Chart,"
2014/2015 Vs 2017/2018: This is just the analysis of the moving averages and patterns that are repeated
",,43,0,0
1530108207.0,TreeTruffle,The next drop and the next pop,"
Curious if and how this will play out.
",,24,0,0
1530107227.0,cheesetoast,Bitcoin slowly grinding along trend line,"
I've set alerts and pending orders should  Bitcoin -0.21%  take another dive down. I've been trailing stops from earlier swing trade positions which are now resting at $6,300. 

In line with the current down trend, I'm looking for areas to add to my position.  

We can see a  bear flag  is setting up along the  trend line . A break here would likely result in a long red candle and would be numerous trade opportunities on the alt coins. 

I'm hoping to take majority of my position off the table at $5,600. 

Disclaimer: This is only my opinion, make of it what you wish. It is not financial advice. 


",Short,145,0,2
1530106840.0,Alteroc,BTC - Potential Diamond Bottom,"
Dear all, 

A potential diamond bottom might be in play.  

In that case I expect the lowest to be the $5,800 mark (diamond support). 


All the Best from the Crypto Space 
Alteroc
",Long,75,0,4
1530105345.0,EBCO,BTC Near Term Possibilities,"




2 hours ago




Hello Traders, 

BTC -0.18%  has broken the symmetrical triangle on 10th of June, also created an inverse  cup and handle  as a pattern by doing so. Right now we are testing the bottom of the  descending triangle  and the most probable breakout for a  descending triangle  is downwards. 
Potential upwards price action: Only to test the hypotenuse of the  descending triangle  around 6.4-6.5k, depending on the day. If we breakout from the  descending triangle , I might consider long positions. I consider breaking out upwards less probable. 
Potential downward price action: Breakout of the  descending triangle  should occur around 5.8k. When the breakout happens, I don't see any strong support until high 4k area (4.7-4.9k, where long term  trendline  and weekly 100  SMA  acts as support). I consider breaking out downwards more probable. 

Remember, stop buy/stop losses and risk management are the key for successful trading. Patterns might or might not come to realization. They are there to adjust the entry/exit positions and to manage risk. 

This is not a financial advice. Good luck!






2 hours ago





Comment:
					Daily chart for detailed view: 












an hour ago





Comment:
					Looking at H1, we seem to have an ascending triangle. Even though the reliability of the patterns decreases in smaller time frames, I took a long position with a very tight stop loss. 








This is a very short term position I am taking. Long term still looks very bearish.

					
				






9 minutes ago





Comment:
					Out. Stop loss triggered.

					
				




",,81,0,1
1530104099.0,DestinationMoonCrypto,Bitcoin Today: hello Facebook,"
Price 
Bitcoin -0.07%  continues narrow lateral movement in the face of the  Bearish Trend Line ; it seems that the price will definitely need substantial support from the fundamental news to break through the  Bearish  tendency. Like in the last time, the long lateral movement says about low demand and could lead the price downwards. 6000.0 level should play a supportive role for the price, dive below the 5750.0 level will drive the price downwards to the 5000.0 support. Breakthrough of the  Bearish Trend Line  should be supported by high volumes and preferably and impulse above the 6300.0. 

Today forecast 
Trading in the 6000.0 – 6600.0 zone.  

Latest news 
US Prosecutors Seize $17  Mln              in  BTC -0.07% , Seek 4,000  BTC -0.07%  More for Dark Web Dealings 
U.S. law enforcement has seized $17  mln              in  Bitcoin -0.07%  ( BTC -0.07% ) and other cryptocurrencies, and is seeking to seize about $24  mln              more, from two Maryland, USA men, on charges of selling counterfeit drugs on the dark web, according to a Department of Justice (DoJ) press release published yesterday, June 26. 
In addition to around $17 million in  Bitcoin -0.07%  and other cryptocurrencies, Law enforcement has seized $2.5 million in computer equipment, and over $1.5 million in cash. The government is further seeking to forfeit “no less than” $5.67 million, plus the value of 4,000  BTC -0.07%  (about $24  mln              at press time), believed to be the proceeds of the illegal drug sales. 
The six-count indictment – unsealed June 22 – alleges that from Nov. 2013 through June 2017, Ryan Farace, 34, sold fake “Xanax” pills on the dark web in exchange for  Bitcoin -0.07% . Together with Robert Swain, also 34, he is further charged with laundering the proceeds through means “designed to conceal the source and ownership of the illegal funds.” 
Farace now faces a maximum sentence of five years in prison on drug distribution counts, with both men facing a maximum of 20 years’ imprisonment on money laundering charges.  
In February, a two-year study of the dark web ecosystem claimed that  Bitcoin -0.07%  may be losing its cachet as the number one currency on darknet markets, seemingly due to users’ frustrations with network traffic and transaction fees. 
Facebook Reverses Ban on Cryptocurrency Ads, Maintains Ban on ICOs 
Facebook 0.49%  has updated its policy to allow cryptocurrencies to once again be advertised, while upholding its ban on the promotion of initial coin offerings (ICOs), in an announcement published Tuesday, June 26. 
Today’s announcement says the company has been looking into the best way of “refining” its blanket ban on cryptocurrency-related advertising “over the last few months,” in order to “allow some ads while also working to ensure that they’re safe.”   
Facebook's revised ""prohibited products and services policy"" now states: 
“Starting June 26, we’ll  allow ads that promote cryptocurrency and related content from pre-approved advertisers. But we’ll continue to prohibit ads that promote binary options and initial coin offerings.” 

",,79,0,0
1530103070.0,pnovak,BTCUSD break coming!,"
Equilibrium forming on  RSI , so I am expecting break of levels (marked with lines) and there so break of  RSI EQ              pattern. Make sure you have game  plan with stop losses (low  volume  so there is greater possibility of fakeouts)! 
",,107,0,0
