Time Stamp,Username,Topic,Text,Direction,Views,Cmt.Num,Like
1530058612.0,FX_Academy,Dash (DASH/USD) more downside expected ,"
Zooming into 15 min time-frame I have counted the corrective waves and as you can see I am expecting that this last wave is the start of another WXY correction with the target at the support line 2. 
",Short,45,0,1
1529798917.0,Forex_Academy,Dash still fighting its way above the resistance line,"
Dash broke out of the resistance line and has tested it yesterday successfully, but it's still struggling to rise in value.
",,140,0,2
1529507781.0,Hyacinth,DASH-USD,"
UP, SHORT TERM 
",,146,0,1
1529466015.0,Forex_Academy,Dash preparing a dash upwards?,"
Dash has created a long-term downwards move, which it has broken out of. Once it reaches the support line next time, it will be in the RSI-oversold part.  

Will it bounce off the now-made support line?
",Long,183,0,1
1529348121.0,Techmology,Dash 1 Week. Kind of Scary,"




Jun 18




So, I'm not saying this won't be invalidated. I see a lot of  bullish  signals in DASH like  bullish divergence  in 1 day recently and I like this asset a LOT. That noted, crypto is traded on emotions and a formation like this is not something I'm going to play around with. Divergence can be invalidated in the blink of an eye. Too many other assets out there for me to play around with panic selling on this signal. I'll keep an eye out for signals it's gone bull to hedge against instead.  

Just sharing my observation. You decide your own position on it. 






Jun 18





Comment:
					Kind of aggravating the left shoulder was filled in when charted but not once published. You can always chart it yourself.

					
				




",,232,1,3
1529206881.0,Ajion,"Crypto Index, Important! Macro Cryptonomics! JULY 16! Sep 16! ","




Jun 17




Found this jewel from another trader. Did my analysis, and it shows everything i need to know, about the macro state of crypto. 

And wow! 

Just look at this! 

If we don;t hold this deep.  

The next entries are so obvious now, it is not even funny! 

GOD! 

Just look at these entries! 

~Explore the chart for possible scenarios of price actions - use zoom and scroll for better view.~  
/*This information is not a recommendation to buy or sell. It is to be used for educational purposes only.*/  

If you want your coin to be analysed, please PM me.  

Thank you,  
Ajion






Jun 17





Comment:






What i am seeing

					
				






Jun 17





Comment:




 
Good reference

					
				






Jun 17





Comment:




 

Original source

					
				




",,2658,3,10
1529143688.0,ripple10usd,DASH/USD Q3 will be green for whole crypto markets,"
I'm expecting roughly 3x from dash. No new  ath 0.25%  but good bounce. 
",Long,237,0,1
1529080450.0,FX_Academy,Dash (DASH/USD) short to long-term projection ,"
Dash (DASH/USD) short to long-term projection 
",Long,211,0,3
1528898258.0,Procinctu,Another quick DASH through falling knives,"




Jun 13




Hopefully you preserved much capital with my  bollinger band  squeeze warning last week. I see it possibly could be spent, and due for a little snap back rally. I have entered another short term  bullish  trade on Dash. As stated in my last  bullish  trade, I'm still not convinced the bottom is in in the overall market. But here is my explanation of the new trade. 

1)I like to look for long trades when  RSI  has a  double bottom  in the relatively extreme 20-30 range (conversely, exit trades in the 70-80 range). This becomes more attractive to me when there is either divergence, or the second low in price is drastic relative to the second  RSI  low. In this case, I'm looking at  RSI  under 21 on May 28 at $285 DASHUSD. Then  RSI  over 24 on June 11 28 at $259. And the more recent  RSI  near 32 with price under $250. It qualifies to grab my attention.  

2) We are on the 100MA on the weekly right now! 

3) We are at substantial support from October 2017 before the last rocket launch.  

4) The price of DASH is just outside the bottom of the  bollinger bands  . Which can help with any snapback similar to the action from May 12 and my last published trade May 28. 

5)  MACD  divergence.... self explanatory.  

Stop $235  
 
Buy $251  
 
Target 1: $285 (1:2.1)  
or 100 MA on the 3  hr 0.56%  chart 

Target 2: $315 (1:4)  

IF half of position is exited at first target, and half at second target, this trade will net 3R. 

This is a tight stop, because if this is the final carnage, then it could run quick...but conditions warrant a nice pop here before (if) that happens. This is my trade, tailor your own trade with your own analysis. 

Do you agree with this setup? Did you use different price levels? Feel free to comment what you are seeing. Thanks for viewing.  

-Travis  
JMJ - UIOGD






Jun 17





Trade active:
					I'm moving the stop up to $253. This guarantees a winning trade. More details coming as I am also exiting a few positions here.

					
				






Jun 17





Trade active:
					I split this trade up. I exited 30% of position here at $270. 

Of the remaining 70%... 

Half is at a stop of $253 with a target of $280... which is where the 100MA should be by that time. 

The other half is at a stop of $260 with a target of $295... which would allow for a throw over of sorts relative to the 100MA. 

See the RSI strategy below to see why these trades work, and when they exhaust. On the previous examples, the RSI bounce topped at over 60. Right now RSI is at 57. So in my opinion, I really need to see a new high in price, or divergence (albeit slight) sets up the other way... That is the reason for all the actions. 

With these moves, the max R value for the trade is 1.8R .... the worst the trade can do is make .6R... so either way, it is profitable. 













Jun 18





Trade closed: stop reached:
					This trade is closed, as it was stopped out on the new stop. Finished making .6R , I really thought it would have made a bit more than that...but still a winner. 

I'm not officially posting, but I did reenter on that 'normal' action on the bitfinex btc chart...will use same stop and targets.  
			









",Long,231,0,2
1528870225.0,Forex_Academy,DASH/USD analysis,"
It seems undecided
",,164,0,1
1529718100.0,Ajion,"July 7&Sep 9, Debt crisis has begun? Trend reversal?","




Jun 23




Is debt crisis goood for crypto? 
https://www.zerohedge.com/news/2018-06-22/rickards-warns-new-global-debt-crisis-has-begun 

Death cross across the board? 
https://www.zerohedge.com/news/2018-06-22/gold-joins-global-death-cross-procession 

Just a cleaner update on the macro state for crypto. 

~Explore the chart for possible scenarios of price actions - use zoom and scroll for better view.~  
/*This information is not a recommendation to buy or sell. It is to be used for educational purposes only.*/  

If you want your coin to be analysed, please PM me.  

Thank you,  
Ajion 







Jun 23





Comment:






What i see.

					
				






Jun 23





Comment:






Alternative path

					
				




",Long,1127,8,4
1529646848.0,Procinctu,DASH quick channel trade,"




Jun 22




Pretty simple. On the 3  hr 0.56%  chart, DASHUSD has been in a channel for about a week.  

Entry: $256.50 

Stop: $250 

Target: $269 

I still would like to see another round of more lows in the overall market, so i will exit this trade at the target and reassess at that point. 

Travis 
JMJ - UIOGD






Jun 22





Trade closed: stop reached:
					soon after this post, we saw a bit of a dump. it stopped out at $250. I used 13 DASH for this trade, so lost $85... but as I said i would like to see another round of lows, so I'm not at all emotional about this trade...i hope it helps get us closer to the bottom.

					
				




",Long,114,0,1
