Category: All categories

Day,Dogecoin: (Worldwide)
2014-05-01,38
2014-05-02,34
2014-05-03,44
2014-05-04,90
2014-05-05,100
2014-05-06,76
2014-05-07,39
2014-05-08,35
2014-05-09,38
2014-05-10,28
2014-05-11,26
2014-05-12,30
2014-05-13,30
2014-05-14,29
2014-05-15,29
2014-05-16,35
2014-05-17,65
2014-05-18,65
2014-05-19,33
2014-05-20,30
2014-05-21,23
2014-05-22,27
2014-05-23,26
2014-05-24,26
2014-05-25,24
2014-05-26,22
2014-05-27,19
2014-05-28,21
2014-05-29,21
2014-05-30,25
2014-05-31,20
2014-06-01,31
