Category: All categories

Day,Ripple: (Worldwide)
2015-05-05,96
2015-05-06,99
2015-05-07,97
2015-05-08,95
2015-05-09,80
2015-05-10,88
2015-05-11,96
2015-05-12,88
2015-05-13,87
2015-05-14,81
2015-05-15,100
2015-05-16,100
2015-05-17,88
2015-05-18,89
2015-05-19,83
2015-05-20,89
2015-05-21,77
2015-05-22,95
2015-05-23,80
2015-05-24,73
2015-05-25,82
2015-05-26,79
2015-05-27,96
2015-05-28,95
2015-05-29,87
2015-05-30,92
2015-05-31,81
2015-06-01,99
2015-06-02,96
2015-06-03,90
2015-06-04,99
2015-06-05,83
