Category: All categories

Day,Bitcoin: (Worldwide)
2016-05-01,30
2016-05-02,100
2016-05-03,62
2016-05-04,44
2016-05-05,44
2016-05-06,39
2016-05-07,38
2016-05-08,36
2016-05-09,38
2016-05-10,36
2016-05-11,37
2016-05-12,34
2016-05-13,33
2016-05-14,30
2016-05-15,28
2016-05-16,33
2016-05-17,32
2016-05-18,33
2016-05-19,35
2016-05-20,32
2016-05-21,28
2016-05-22,30
2016-05-23,32
2016-05-24,32
2016-05-25,31
2016-05-26,33
2016-05-27,34
2016-05-28,39
2016-05-29,43
2016-05-30,47
2016-05-31,47
2016-06-01,39
