username,created,location,has_location,is_verified,total_tweets,total_following,total_followers,total_likes,has_avatar,has_background,is_protected,profile_modified
AguinaldoRausis,2013-02-22,,1,0,149,342,18,118,1,1,0,1
domik78,2018-06-11,0,0,0,1762,19,12,2,1,1,0,1
drewcbarnard,2008-09-22,0,0,0,6786,1410,718,9525,1,1,0,1
LOIREMACAZO,2012-10-17,Somewhere in USA,1,0,45812,6611,6169,51629,1,1,0,1
s_benchev,2017-05-05,0,0,0,1205,775,68,1008,0,1,0,1
Ruminorang,2016-10-30,0,0,0,5707,80,849,3012,1,1,0,1
IamNomad,2009-03-01,,1,0,5095,735,54620,19116,1,0,0,1
crypto_intro,2014-07-21,0,0,0,235,144,95,293,1,1,0,1
TMotorsports83,2018-04-09,"Plymouth, WI",1,0,179,178,246,10,1,1,0,1
Alosha676,2015-11-22,"Kapuvár, Magyarország",1,0,699,759,168,5961,1,0,0,1
