ID,Tweet,Time,User,Likes,Replies,Retweets,in_response_to,response_type
1024099895517622272,"RT @snarkyzk: BTC maximalist: We built internet money
ETH dapp dev: We put ______ on blockchain
Scalability researcher: We achieved 1000 tx… <retweeted_status> BTC maximalist: We built internet money
ETH dapp dev: We put ______ on blockchain
Scalability researcher: We achieved 1000 tx per sec
Privacy researcher: We used SNARKs to obscure tx
Altcoin shill: We made the coin of the future
End User: how do you use any of this...? </retweeted_status>",1532978716,BCHisBitcoin,0,0,0,1023976957086588928,retweet
1024099901288972288,Free and Best Automatic Bitcoin - Altcoins - USDT Trading Bot https://bitcointalk.org/index.php?topic=2128942.0                                                                           @BTCTradeBot $BTC $LBC $TKN $DCT $MCO $MLN $YOYOW #Bittrex #Poloniex #Binance https://t.co/3CReTFMUo1,1532978717,JasonAl79019000,0,0,0,0,tweet
1024099907819499520,"i'm currently running 8 Full Nodes on my server.

Bitcoin, Bitcoin Core, Bitshares, Dash, DigiByte, Dogecoin, Monero and Litecoin.

@Bitcoin @btc @bitcoincoreorg @BitcoinCore_ @bitshares @Dashpay @DigiByteCoin @dogecoin @langer_hans @xmccurrency @litecoin @SatoshiLite https://t.co/8OnKuJvZPA",1532978719,ImKimax,0,0,0,0,tweet
1024099913037213696,RT @digitsu: @CobraBitcoin No change to the block times. That's the realm of shitcoin #1 Litecoin. <retweeted_status> @CobraBitcoin No change to the block times. That's the realm of shitcoin #1 Litecoin. </retweeted_status>,1532978720,BCHisBitcoin,0,0,0,1024085217219293184,retweet
1024099917063696385,RT @LTCFoundation: #Litecoin creator is helping HTC build a secure blockchain phone https://tnw.to/YF1eE 🤳🐔 <retweeted_status> #Litecoin creator is helping HTC build a secure blockchain phone https://tnw.to/YF1eE 🤳🐔 </retweeted_status>,1532978721,fungibleryan,0,0,0,1024008505852870662,retweet
1024099919223828487,"Top 5 #cryptocurrencies 
 Alert Time: 2018-07-31 04:10:22
#Bitcoin: $8,133.993
#Ethereum: $455.915
#XRP: $0.443
#BitcoinCash: $809.689
#EOS: $7.698
#trading #altcoins #binance #SmartContracts #trading

https://t.co/rdEr8N5koT",1532978722,CoinCapsAi,0,0,0,0,tweet
1024099920528257026,"Top 5 #cryptocurrencies 
 Alert Time: 2018-07-31 04:10:22
#Bitcoin: $8,133.993
#Ethereum: $455.915
#XRP: $0.443
#BitcoinCash: $809.689
#EOS: $7.698
#trading #altcoins #binance #SmartContracts #trading

https://t.co/SM6pcUX1wf",1532978722,NewsCrypto24,0,0,0,0,tweet
1024099939809406981,RT @OppongBs: one of the most painful things in crypto is not having anymore fiat to buy the dip 😭😭 $btc $eth $ltc $bch $iota $wan $icx <retweeted_status> one of the most painful things in crypto is not having anymore fiat to buy the dip 😭😭 $btc $eth $ltc $bch $iota $wan $icx </retweeted_status>,1532978727,cryptob4ller,0,0,0,1023982153712001024,retweet
1024099948420390913,"RT @Popeson: The creator of bitcoin set the currency up so that only 21 million bitcoins will ever be released. This means that bitcoins ca… <retweeted_status> The creator of bitcoin set the currency up so that only 21 million bitcoins will ever be released. This means that bitcoins can’t be endlessly “minted,”....this will continue to make the value to increase 

$BTC $ETH $TRX $OCN $XRP $DASH $XEM $ADA $LTC $BANCA $ECA $COLX $MAN $EVE </retweeted_status>",1532978729,blockchainban3,0,0,0,1020601509950775296,retweet
1024099952644026368,"RT @GrayscaleInvest: 07/30/18 UPDATE:  Holdings per share and net assets under management for our investment products

$BTC $BCH $ETH $ETC… <retweeted_status> 07/30/18 UPDATE:  Holdings per share and net assets under management for our investment products

$BTC $BCH $ETH $ETC $LTC $XRP $ZEC https://t.co/wWTkhavhWe </retweeted_status>",1532978730,sevendown3,0,0,0,1024036154050523137,retweet
1024099957404561408,"this channel called $DGB before it made 6x. they only share high reward, low risk signals. join:

https://t.co/ClZajPFkRQ

$BTC $ETH $ETC $BCH $LTC $XRP $DASH $BTG $XLM $XMR $ZEC $ADA $SNT $NEO $MED $OMG $POWR $VTC $SC $XEM $LSK $DGB $DOGE $XVG $GRS $AMP $ZCL $DRGN $DCR 67166",1532978731,ashleywhitetwe1,0,0,0,0,tweet
1024099966367588352,"RT @Rewardsdotcom: A lot of talk going around about how Bitcoin has hit the bottom. What do you guys think? What do you predict BTC will be… <retweeted_status> A lot of talk going around about how Bitcoin has hit the bottom. What do you guys think? What do you predict BTC will be by the end of the year?

#crypto #bitcoin #poll #ico #icoinvest #airdrop #bounty #bountyhunter #ethereum #litecoin #dogecoin #btc </retweeted_status>",1532978733,Audrey47200519,0,0,0,1012433448190005249,retweet
1024099985292505091,"RT @WhaleAgents: #Litecoin $ltc approaching key support level 
Litecoin has spent the last six months by constantly declining, without any… <retweeted_status> #Litecoin $ltc approaching key support level 
Litecoin has spent the last six months by constantly declining, without any major retracement or attempt to break the downtrend.
Read more
👇🏻
https://t.co/pVLvCc4AD3 </retweeted_status>",1532978738,litecoingva,0,0,0,1023944686254411778,retweet
1024099990669541377,"RT @Estan247: It will be an very interesting day when @ElectracoinECA is finally listed on @binance 🤔👌🏾 

$crypto #altcoins #bitcoin #ECA #… <retweeted_status> It will be an very interesting day when @ElectracoinECA is finally listed on @binance 🤔👌🏾 

$crypto #altcoins #bitcoin #ECA #Electra #Currency $BTC $ECA </retweeted_status>",1532978739,blockchainban3,0,0,0,1022161027541155851,retweet
1024100001792831488,$LTC.X is in Doji Gap Down winning 58.93% in the past. https://goo.gl/WQbCrH https://t.co/UySzUZ4vce,1532978741,CoderChiu,0,0,0,0,tweet
1024100012454764544,RT @justcryptocnews: HTC Says Its Crypto-Friendly Smartphone Will Support Litecoin - https://www.justcryptocurrencies.com/2018/07/31/htc-says-its-crypto-friendly-smartphone-will-support-litecoin/ https://t.co/dSw5HJ5dRX <retweeted_status> HTC Says Its Crypto-Friendly Smartphone Will Support Litecoin - https://www.justcryptocurrencies.com/2018/07/31/htc-says-its-crypto-friendly-smartphone-will-support-litecoin/ https://t.co/dSw5HJ5dRX </retweeted_status>,1532978744,LitecoinUKs,0,0,0,1024098877887135744,retweet
1024100033229201409,"RT @litemeup14: Why I'm bullish on Litecoin! 

1- Charlie Lee and Litecoin Foundation 

2-Lightning Network

3-TokenPay Bank investment

4-… <retweeted_status> Why I'm bullish on Litecoin! 

1- Charlie Lee and Litecoin Foundation 

2-Lightning Network

3-TokenPay Bank investment

4-ABRA

5- Possible future Litecoin index funds

6-Aliant crypto payment solution

7-HTC Blockchain phone

8- Nasdaq secret meetings 😎 </retweeted_status>",1532978749,mikeyyy_v,0,0,0,1024051716977827842,retweet
1024100118318870528,"Blockchain on Campus: Universities Finding Their Role as Researcher and Promoter 
 
https://is.gd/vL75aL

#Bitcoin #BTC #ETH #LTC #XRP",1532978769,BitNews_Live,0,0,0,0,tweet
1024100139131002880,"RT @FairNinja: Read our #whitepaper to find more about our classifieds platform that will allow you to buy goods and services with #bitcoin… <retweeted_status> Read our #whitepaper to find more about our classifieds platform that will allow you to buy goods and services with #bitcoin #ethereum #litecoin, or #yoshicoin. https://t.co/lOYKAHu83T </retweeted_status>",1532978774,millar1988,0,0,0,1007012473449451521,retweet
1024100148777869312,"RT @SatoshiLite: Met the HTC Exodus team last week and was really excited to hear the phone will support LTC and Lightning Network on Litec… <retweeted_status> Met the HTC Exodus team last week and was really excited to hear the phone will support LTC and Lightning Network on Litecoin natively! I will be an advisor as I see having a secure crypto phone that makes LN simple is needed for mass adoption.

P.S. No, they will not remove BTC. https://t.co/WQcygPVst0 </retweeted_status> <quoted_status> Meet @HTCExodus - The World's First Native Blockchain Phone. Reserve yours now: https://t.co/mlCyN0ThQ7 #LetMyDataGo cc @VitalikButerin @starkness @edithyeung https://t.co/MkDDTSGGMv </quoted_status>",1532978776,_ragebringer,0,0,0,1023760115852144642,retweet
1024100152905228289,Free and Best Automatic Bitcoin - Altcoins - USDT Trading Bot https://bitcointalk.org/index.php?topic=2128942.0                                                                           @BTCTradeBot $BTC $GRS $VTC $XEM $EOS $TRX $WICC #Bittrex #Poloniex #Binance https://t.co/CIX7t5TKPC,1532978777,EltonBoyd4,0,0,0,0,tweet
1024100160375119872,"RT @pymnts: .@TransferGo now allows users to trade #bitcoin, bitcoin cash, #Ripple, litecoin, and #Ethereum through its service: https://t.… <retweeted_status> .@TransferGo now allows users to trade #bitcoin, bitcoin cash, #Ripple, litecoin, and #Ethereum through its service: https://t.co/bVHG3bMuuE </retweeted_status>",1532978779,usercaseAsset,0,0,0,1024092283036200960,retweet
1024100185927045121,"Top Trusted Crypto Currency Platform 💹 📉  bitcoin litecoin dashcoin Ethereum Ripple 

Open Your Account ! : https://t.co/BPjF4uIAeI  💱✅

1fx65-23
 Monday, 30 July 2018",1532978785,UnaUnascott407,0,0,0,0,tweet
1024100191580741632,@bullishgentlemn @APompliano LTC is a virus.,1532978787,damiendonnelly,0,0,0,1024098653739220992,reply
1024100202142203905,"this channel called $DGB before it made 6x. they only share high reward, low risk signals. join:

https://t.co/r598bTD5qF

$BTC $ETH $ETC $BCH $LTC $XRP $DASH $BTG $XLM $XMR $ZEC $ADA $SNT $NEO $MED $OMG $POWR $VTC $SC $XEM $LSK $DGB $DOGE $XVG $GRS $AMP $ZCL $DRGN $DCR 42764",1532978789,irisblacktweets,0,0,0,0,tweet
1024100210899791872,"RT @FunkydogCrypto: #Crypto #investors @Lindaproject had some busy weeks getting #SEC complaint, updating the website https://t.co/zh74k7wA… <retweeted_status> #Crypto #investors @Lindaproject had some busy weeks getting #SEC complaint, updating the website https://t.co/zh74k7wAnx, announced the first #merchants acceptance and now waiting for the #whitepaper rewritten for #SEC! 
$BTC $ETH $LTC $NCP $TRX $CPLO $ECA $DIME $XP $WBTC $ADA </retweeted_status>",1532978791,KenRodg28091164,0,0,0,1023820882920259584,retweet
1024100216822059008,RT @JonKonik: #Crypto #Blockchain #bitcoin #cryptocurrency #altcoins #altcoin #pumpanddump #hodl #Hodlgang #ICO #meme $btc $ETH $LTC $OCN $… <retweeted_status> #Crypto #Blockchain #bitcoin #cryptocurrency #altcoins #altcoin #pumpanddump #hodl #Hodlgang #ICO #meme $btc $ETH $LTC $OCN $SS $VEN $BBN $BNB $QASH $NEX $ACT $RHOC $HOT $TRX $RPX $XRP $LINK $XLM $INT $HPB $BOT $MAN $VEN $TRAC $NCC $XVG #binance https://t.co/KIajQfakaq </retweeted_status>,1532978793,AbdelhadiFiras,0,0,0,1024089199434260481,retweet
1024100221570179072,"@xtdisnkfe Without a doubt. Good point on Gold, never gave it much thought to counterfeiting but it absolutely can be. And even ideas like Peter Schiff has for pegging a crypto to gold wont work due to centralization issues. 
Digital future = BTC/LTC is the only solution.",1532978794,FrothyCrypto,0,0,0,1024096447807930368,reply
1024100234849181696,"RT @CryptoBoomNews: Litecoin founder @SatoshiLite will be an advisor for HTC’s new smartphone Exodus!

The Exodus smartphone will contain a… <retweeted_status> Litecoin founder @SatoshiLite will be an advisor for HTC’s new smartphone Exodus!

The Exodus smartphone will contain a #cryptocurrency wallet that will support #BTC, #ETH, #LTC, and #LN (Lightning Network) 🚀 

https://t.co/1fm8TP4DN6 </retweeted_status>",1532978797,BcBoomz,0,0,0,1024055137000730624,retweet
1024100236078329856,"RT @AlexChoOfficial: Cryptocurrency investments are going to increase, because people are recognizing the trend and ignoring the noise. 

#… <retweeted_status> Cryptocurrency investments are going to increase, because people are recognizing the trend and ignoring the noise. 

#Cryptocurrency #Blockchain

$BTC $ETH $BCH $MIOTA $LTC $XRP $DASH $BTG $XMR $NEM </retweeted_status>",1532978797,jfeldman452,0,0,0,1024099861925261312,retweet
1024100297973682178,"RT @htcexodus: One small step for @SatoshiLite. One giant leap for blockchain.  

Team @HTCExodus, @philchen913 @htc are honored to have Ch… <retweeted_status> One small step for @SatoshiLite. One giant leap for blockchain.  

Team @HTCExodus, @philchen913 @htc are honored to have Charlie Lee to join as our advisor.

cc @litecoin @LTCFoundation @LitecoinProject #LetMyDataGo https://t.co/JWGI4b8yH0 </retweeted_status> <quoted_status> Met the HTC Exodus team last week and was really excited to hear the phone will support LTC and Lightning Network on Litecoin natively! I will be an advisor as I see having a secure crypto phone that makes LN simple is needed for mass adoption.

P.S. No, they will not remove BTC. https://t.co/WQcygPVst0 </quoted_status>",1532978812,fiddybux,0,0,0,1023835797873668096,retweet
1024100331108671494,Free and Best Automatic Bitcoin - Altcoins - USDT Trading Bot https://bitcointalk.org/index.php?topic=2128942.0                                                                           @BTCTradeBot $BTC $MIOTA $VEN $BNB $BNC $QTUM $ZEC #Bittrex #Poloniex #Binance https://t.co/BO1lUEyQg4,1532978820,CurtisP92551497,0,0,0,0,tweet
1024100337391726592,"Mirror successful traders automatically with Bitcoin! 💰💰

I copy ""wangzai888"". Do you?

➡️ https://1broker.com/?r=25023 ⬅️

Talk about a great &amp; simple 'set-and-forget' wage! ⛱️💎

$OCN | $SNT | $WAVES | $THETA | $XIN | $HPB | $XRP | $AION | $XIN | $LTC https://t.co/JwOI9ypoYd",1532978821,RitaFelder4,0,0,0,0,tweet
1024100357444526080,"""PRINCE DOWN PICK UP"" #cryptocurrency #blockchain #bitcoin #litecoin #ethereum #tron #trx #DYOR https://t.co/AVSFh7snN5",1532978826,WhaleStreetNews,0,0,0,0,tweet
1024100362905628672,"RT @xtdisnkfe: $USD and Gold are subject to counterfeiting. #Litecoin is not. This is one of the primary reasons it’s a superior SoV, and M… <retweeted_status> $USD and Gold are subject to counterfeiting. #Litecoin is not. This is one of the primary reasons it’s a superior SoV, and MoE. </retweeted_status>",1532978828,FrothyCrypto,0,0,0,1024096447807930368,retweet
1024100443457114112,"RT @paidthruxchange: 500 $XLM #LUMEN GIVEAWAY!
👇 HOW TO WIN 👇
- FOLLOW ME 
- RT
- COMMENT &amp; Guess # of Pennies in Jar!
1 Guess/Comment Only… <retweeted_status> 500 $XLM #LUMEN GIVEAWAY!
👇 HOW TO WIN 👇
- FOLLOW ME 
- RT
- COMMENT &amp; Guess # of Pennies in Jar!
1 Guess/Comment Only. Closest Wins.
--------------------
500 RT's = WINNER!
$BTC #paidthru #crypto #giveaway
$ETH $BAT $ZCL $DASH $NEO $LTC https://t.co/77WyRk9zxT </retweeted_status>",1532978847,RippleAirdrop,0,0,0,1023963471107354624,retweet
1024100450583359488,@USArmy @SecArmy @101stAASLTDIV I love to see that iron still continues to sharpen iron. I served with 3-187 under LTC Petraeus and CSM Purdy. #BestYearsofMyLife #NeDesitVirtus #MarchOrDie,1532978848,HallJChris,0,0,0,1024097365186240512,reply
1024100450751180802,"The meme that most fell for, buying alts instead of $BTC 🤫 <quoted_status> Last time we had this low on top 10 $alts  combined ,(relative to $BTC)  we had a a face melting run up and reached the peak in 4 weeks. We are at the same exact level. Buckle your seatbelts gents... 
top 10:  $ETH $XRP $BCH $EOS $LTC $ADA $XLM $IOTA $NEO $TRX https://t.co/PT6u5VPhFx </quoted_status>",1532978848,therealbitbrih,0,0,0,1022119562773450752,quoted_retweet
1024100457231335424,"We will be presenting at the London ICO Roadshow.
#cryptocurrency #blockchain #ico #ethereum #tokensale #crypto #crowdsale #eth #altcoin #btc #tripterium
https://t.co/mqUpxu5yZy",1532978850,tripterium,0,0,0,0,tweet
1024100483177177088,"RT @Cointelegraph: Charlie Lee joins HTC’s Exodus as advisor, notes device will now include Litecoin, LN compatibility along with Bitcoin a… <retweeted_status> Charlie Lee joins HTC’s Exodus as advisor, notes device will now include Litecoin, LN compatibility along with Bitcoin and Ethereum
https://t.co/gdHc2hx5t9 </retweeted_status>",1532978856,drhiot,0,0,0,1024010752292790274,retweet
1024100490789969927,"RT @BleezyBNola: Over halfway to my goal of 500 followers before I make it rain in the @ElectracoinECA $ECA tipbot group. Like, follow and… <retweeted_status> Over halfway to my goal of 500 followers before I make it rain in the @ElectracoinECA $ECA tipbot group. Like, follow and retweet then go join the Electra coin and Eca tipbot groups on telegram for the free ECA to come!  #altcoin #airdrop #rain $BTC $ETH $XRP $ADA $XVG #crypto </retweeted_status>",1532978858,itsrolo,0,0,0,1024080462040449024,retweet
1024100525464281088,RT @satoshiuncle_: Gallup Poll: 75% of US Investors Think Bitcoin Is &amp;#039;Very Risky&amp;#039; https://satoshiuncle.com/gallup-poll-75-of-us-investors-think-bitcoin-is-very-risky/ #satoshiuncle #cryptocu… <retweeted_status> Gallup Poll: 75% of US Investors Think Bitcoin Is &amp;#039;Very Risky&amp;#039; https://satoshiuncle.com/gallup-poll-75-of-us-investors-think-bitcoin-is-very-risky/ #satoshiuncle #cryptocurrency #bitcoin #ethereum #ripple #litecoin #blockchain </retweeted_status>,1532978866,bagazovopyw,0,0,0,1024070108027662336,retweet
