ID,Tweet,Time,User,Likes,Replies,Retweets,in_response_to,response_type
828013271227781121,Rhubarb & Custard Tart with Maple Honey Granola & Rhubarb Ripple Mascapone. With @mattparry14 https://www.instagram.com/p/BQG2ruDA1wt/ ,1486248722,duncandoit,3,1,2,0,tweet
828001187010080769,Karma is simply the fact that your actions ripple out and have endless repercussions. http://bit.ly/2k29p90 ,1486245841,dailyzen,43,2,22,0,tweet
827996594167504896,"Wrestling Regional results:
Harley Gorman 2nd place
Austin Bethel 2nd place
Micah Keller 2nd place
Wade Ripple... http://fb.me/3n4CiIgLY ",1486244746,mvshsmtvernon,10,0,5,0,tweet
827996253992652800,Gorman receives 2nd place. Bethel receives 2nd place. Keller receives 2nd place and Ripple receives 1st. Semi-State next weekend. #weareMV,1486244665,MtVWrestling,21,0,7,0,tweet
827991941593837568,"Just keep dancing

Come support @ broad ripple @ 7:30. Black out . #RaiseTheShield #PlugPride Sectional Title on the line tonight!pic.twitter.com/bxLhptmLtJ",1486243636,hannahlindsey22,13,0,5,0,tweet
827987391000506369,We're still dancing. Tonight. 7:30. At Broad Ripple. Be there. Black out. #raisetheshieldpic.twitter.com/HuB0lormJp,1486242551,hannah_sherfick,9,0,2,0,tweet
827974143194779648,Celebrating Rosa Parks today. Her  act of Stepping Up Created a ripple. How will we step up today? Her story reminds us how much it matters https://twitter.com/TwitterMoments/status/827962765461446656  <quoted_status>Civil rights icon Rosa Parks would have turned 104 today. https://twitter.com/i/moments/827956875056467968 </quoted_status>,1486239393,DrJohnIzzo,7,0,1,827962765461446656,quoted_retweet
827971131521040384,American intellectual poverty in the age of Trump is going to have ripple effects for decades.,1486238675,VoxPackers,7,2,1,827958903690244099,reply
827965804801118209,"Gif
Ranch hand feeding Ripple. 
February 4th at 10.15am
@KilcherCamFanspic.twitter.com/t7HrbfjfBG",1486237405,rosiylyn5,32,2,3,0,tweet
827950821484662784,GIRLS  SECTIONAL FINALS: @ Broad Ripple. VS. Covenant. 7:30. THEME: Black Out!  Be ThereGo Plugs! ,1486233833,SHSPITCREW,17,0,11,0,tweet
827938198546440192,Raindrops drop pools of soundEchoes jettisoned by sad cloudsEmpty landing to hear the groundRipple cheers of puddled crowds#ShapePoetry,1486230823,AlMatheson_1,4,1,2,0,tweet
827937352349802497,Offer your customers a better remittance experience with Ripple. https://www.youtube.com/watch?v=ZckgnFDUOU8 ,1486230621,Ripple,21,1,18,0,tweet
827915672256647169,"Sectional Championship tonight at Broad Ripple HS, 7:30  #3peat @ccladywarrior @mcintyreimaging @cchsstudentsec1pic.twitter.com/HSqnwmXdmV",1486225452,ClearyMikayla,18,1,4,0,tweet
827912918192648192,1in5 car trips is for food. 1in3 trucks is delivering food. Walking to food has a big ripple effect on our cities #Cultivate2017,1486224796,Mobot_RPP,3,0,2,0,tweet
827826288077438976,"Life is like a ripple. Whatever you do, does affect people around you in some ways or another.",1486204142,Ediffied,3,0,10,0,tweet
827795359724285952,#UAE bank NBAD offers #blockchain payments after tie-up with Ripple #fintech http://m.arabianbusiness.com/uae-bank-nbad-offers-blockchain-payments-after-tie-up-with-ripple-661725.html ,1486196768,aimam,6,0,6,0,tweet
827735821088235520,"Just ignoring disenfranchisement, mass incarceration and the ripple effects of both. Ignoring repression, voter intimidation...redlining..",1486182572,brownblaze,38,2,15,827729334102216704,reply
827725828100349953,We at the student section are very sorry for any confusion caused. The game is actually at Broad Ripple,1486180190,cchsstudentsec1,4,0,4,827719835949924352,reply
827709718135205889,#bitcoin #blockchain #cryptocurrency Abu Dhabi Bank Partners with Ripple for Cross-Border Payments http://ow.ly/Vbkf509fjoj ,1486176349,brianNphan,5,0,2,0,tweet
827698560141496320,Did anyone else see that ripple of air coming from Bonnie's yelling?! #VampireDiaries,1486173689,Cklarita_,8,0,1,0,tweet
827697475632975872,"Yessss! I am now a proud patron of JulioNIB on @patreon, and you should be too: #NewPatron https://patreon.com/JulioNIB?utm_medium=social&utm_source=twitter&utm_campaign=tyshare2 ",1486173430,XTRA_HRDCOR_XRP,1,0,0,0,tweet
827697216194240514,"Listen to Anoice - Ripple
 https://soundcloud.com/pouyan-ohadi/anoice-ripple ",1486173368,AmjadAboZeid,2,0,0,0,tweet
827695205574909952,"My arm draped
languorously with fingers
trailing in the slipstream
stars split and ripple
my boat of dreams glides on.

#5lines #micropoetry",1486172889,BlueHaiku2,10,0,7,0,tweet
827691287268634624,"over $5 in the future, I think.",1486171955,TO30447473,4,0,0,827492940540997632,reply
827691142259040256,oh come on. I would surely take some Nirvana over Big Country. Of course a step back to ripple solves all the world's problems.,1486171920,Scotch1965,1,1,0,827688669586808833,reply
827689220848234497,Trump's immigration policies ripple across Indonesia http://www.abc.net.au/news/2017-02-04/indonesia-weighs-in-on-donald-trump-executive-orders-immigration/8241054  via @ABCNews,1486171462,bsadams25,0,0,2,0,tweet
827688119541563394,"Ripple  https://twitter.com/deadandcompany/status/827630483336990726  <quoted_status>""Let there be songs to fill the air” pic.twitter.com/9RRsa4codz</quoted_status>",1486171200,dearmariebr,10,0,2,827630483336990726,quoted_retweet
827684921091227650,CALLING ALL PUMAS: I WILL SEE YOU IN BROAD RIPPLE TONIGHT. WE'LL SHOW THEM WHAT IT MEANS TO BE A PUMA!,1486170437,bigtweetpete16,19,1,0,0,tweet
