ID,Tweet,Time,User,Likes,Replies,Retweet,in_response_to,response_type
,,,StellarOverload,0,0,0,,tweet
698929832420360193,"Stellar - Sting 

Happy Valentines Day 

Instagram cover 
http://instagram.com/p/BBxp_NFpMij/ pic.twitter.com/zt4NgCNZ3B",1455472832,mminakimm,45,6,11,0,reply
699015991288688640,The clouds are sculpted by stellar winds and radiation from massively hot stars in the Heart Nebulas star clusters. pic.twitter.com/sCg9bOT73p,1455493374,astromillennium,311,1,225,698926637870526465,reply
698931040866471936,Last night was stellar  Thank you so much to everyone who came out & to all of the other amazing bands who played! pic.twitter.com/vH0ywft7Ur,1455473120,PostGradBand,10,1,3,0,reply
698970204349399040,Wales 6 Nations STELLAR Try! @SionedHarries CLUTCH run and off-load to @HannahJones_12  #Waleswomen #wrugbypic.twitter.com/e1SGfJn34R,1455482457,WomRugbyComp,14,3,6,0,reply
698941094839635969,Hey look it's mehttps://twitter.com/bookofmormon/status/698934253078249472 … <quoted_status> You make my heart kind of flutter  pic.twitter.com/Ef2391tmEF</quoted_status>,1455475517,stellar_trash,8,0,0,698934253078249472,quoted_retweet
699017023360098304,Hugo Lloris saved the day. Otamendi had a free header on Aguero's cross before Hugo shot back and tipped it away. Stellar goal keeping #COYS,1455493620,ArizonaHotspur,31,5,4,0,reply
698930334474379264,"""How silver-sweet sound lovers' tongues by night,
Like softest music to attending ears!""

R&J 2.2 #ShakespeareSundaypic.twitter.com/5otrbzWy6g",1455472951,Kirsten_STR,11,0,5,0,reply
698939587087855616,Life of Pablo is straight fire,1455475157,stellar_sun,2,0,0,0,reply
699013868056608768,"Passes by the Straz Center
Cries and waits for next month ",1455492867,stellar_trash,2,0,0,0,reply
699011000268251136,Tottenham were stellar across the board in a huge 2-1 win at Manchester City. http://es.pn/20xuS7t pic.twitter.com/f4s0mJTj7C,1455492184,ESPNFC,103,3,25,0,reply
698998795439206400,"I love @TheGrinderFOX.  Stellar cast, excellent meta comedy, and razor sharp editing.",1455489274,1nickeverhart,13,1,2,0,reply
698998108970213380,As if it needed to be said: Stellar work from @Russostrib on the Yeo firing.,1455489110,wyshynski,33,4,9,0,reply
698997609374097408,@BethanyJoyLenz My heart breaks every time I watch this Joy's acting is stellar!! #oth #naleypic.twitter.com/GLKaVnuLu7,1455488991,GinaRenee22,13,0,2,0,reply
